Site,Year,Month,Day,Value
Guangzhou,2012,201209,20120901,31
Shanghai,2012,201209,20120901,16
Beijing,2012,201209,20120902,30
Chengdu,2012,201209,20120902,25
Guangzhou,2012,201209,20120902,20
Shanghai,2012,201209,20120902,15
Beijing,2012,201209,20120903,10
Chengdu,2012,201209,20120903,68
Guangzhou,2012,201209,20120903,26
Shanghai,2012,201209,20120903,30
Beijing,2012,201209,20120904,14
Chengdu,2012,201209,20120904,81
Guangzhou,2012,201209,20120904,27
Shanghai,2012,201209,20120904,54
Beijing,2012,201209,20120905,32
Chengdu,2012,201209,20120905,60
Guangzhou,2012,201209,20120905,26
Shanghai,2012,201209,20120905,44
Beijing,2012,201209,20120906,95
Chengdu,2012,201209,20120906,100
Guangzhou,2012,201209,20120906,36
Shanghai,2012,201209,20120906,15
Beijing,2012,201209,20120907,82
Chengdu,2012,201209,20120907,189
Guangzhou,2012,201209,20120907,40
Shanghai,2012,201209,20120907,17
Beijing,2012,201209,20120908,51
Chengdu,2012,201209,20120908,97
Guangzhou,2012,201209,20120908,74
Shanghai,2012,201209,20120908,35
Beijing,2012,201209,20120909,112
Chengdu,2012,201209,20120909,128
Guangzhou,2012,201209,20120909,60
Shanghai,2012,201209,20120909,22
Beijing,2012,201209,20120910,130
Chengdu,2012,201209,20120910,51
Guangzhou,2012,201209,20120910,44
Shanghai,2012,201209,20120910,19
Beijing,2012,201209,20120911,105
Chengdu,2012,201209,20120911,27
Guangzhou,2012,201209,20120911,36
Shanghai,2012,201209,20120911,31
Beijing,2012,201209,20120912,18
Chengdu,2012,201209,20120912,35
Guangzhou,2012,201209,20120912,22
Shanghai,2012,201209,20120912,68
Beijing,2012,201209,20120913,15
Chengdu,2012,201209,20120913,36
Guangzhou,2012,201209,20120913,27
Shanghai,2012,201209,20120913,74
Beijing,2012,201209,20120914,17
Chengdu,2012,201209,20120914,92
Guangzhou,2012,201209,20120914,18
Shanghai,2012,201209,20120914,55
Beijing,2012,201209,20120915,35
